PPG,61453,104638,107480
ECG,61456,-45860,
PPG,61462,104649,107526
ECG,61464,-42576,
PPG,61472,104642,107519
ECG,61473,-45927,
GSR,61478,472,
ECG,61480,-43963,
PPG,61484,104665,107568
ECG,61489,-45465,
PPG,61493,104664,107589
ECG,61496,-42766,
PPG,61503,104682,107596
ECG,61504,-43896,
PPG,61512,104680,107650
ECG,61513,-43087,
ECG,61519,-44556,
PPG,61523,104702,107676
ECG,61528,-43370,
PPG,61533,104716,107687
GSR,61536,472,
ECG,61537,-45365,
PPG,61543,104727,107728
ECG,61544,-43774,
PPG,61553,104728,107746
ECG,61554,-43214,
ECG,61559,-43306,
PPG,61562,104753,107761
ECG,61568,-43287,
PPG,61573,104768,107800
ECG,61576,-44862,
PPG,61583,104754,107820
ECG,61584,-44202,
GSR,61589,472,
PPG,61592,104770,107844
ECG,61593,-45643,
ECG,61599,-43648,
PPG,61603,104779,107848
ECG,61607,-44930,
PPG,61614,104796,107877
ECG,61616,-44029,
PPG,61623,104801,107906
ECG,61624,-46881,
ECG,61631,-43727,
PPG,61635,104810,107915
ECG,61639,-46064,
PPG,61643,104817,107936
ECG,61647,-43376,
PPG,61652,104847,107954
GSR,61654,473,
ECG,61656,-44537,
PPG,61663,104835,107964
ECG,61664,-38754,
PPG,61673,104831,107977
ECG,61674,-33239,
ECG,61680,-30357,
PPG,61683,104848,108000
ECG,61688,-39632,
PPG,61693,104866,108022
ECG,61696,-46001,
PPG,61704,104859,108035
ECG,61705,-59250,
GSR,61707,473,
PPG,61713,104866,108058
ECG,61714,-59746,
ECG,61719,-56003,
PPG,61723,104865,108051
ECG,61727,-50638,
PPG,61732,104868,108065
ECG,61735,-46845,
PPG,61743,104890,108080
ECG,61744,-43787,
PPG,61753,104901,108086
ECG,61754,-43333,
GSR,61759,473,
ECG,61760,-43370,
PPG,61763,104908,108090
ECG,61768,-42558,
PPG,61773,104907,108120
ECG,61775,-42200,
PPG,61784,104904,108152
ECG,61785,-40703,
ECG,61792,-41520,
PPG,61795,104907,108152
ECG,61799,-40248,
PPG,61803,104911,108172
ECG,61807,-42514,
PPG,61813,104922,108186
GSR,61815,473,
ECG,61816,-39742,
PPG,61824,104938,108199
ECG,61825,-42007,
ECG,61832,-39982,
PPG,61835,104941,108213
